ESTRATÉGIA ASSIMETRIA DE BAIXA;ASSIMETRIA ONLY;ENTROPIA ONLY;ESTRATÉGIA COM ASSIMETRIA DE ALTA;Data
1,019227168;1,024030003;1,015215095;1,012910434;01/02/2011
1,000457879;1,004442223;0,99827191;0,998701019;02/02/2011
0,995246318;1,003263099;0,998130269;1,002403019;03/02/2011
0,974713446;0,983516314;0,974323899;0,978185281;04/02/2011
0,985793877;0,993272035;0,984620795;0,988614142;07/02/2011
0,990714713;0,999783341;0,995885299;1,002634308;08/02/2011
0,971911566;0,985888509;0,97563934;0,980700076;09/02/2011
0,972681367;0,98640861;0,974586401;0,976830549;10/02/2011
0,983976212;1,000889574;0,988399004;0,992327034;11/02/2011
0,990776423;1,009567347;0,992953277;0,99660973;14/02/2011
0,992054369;1,009048353;0,995336878;1,000134587;15/02/2011
1,011228676;1,030302954;1,016378767;1,021918831;16/02/2011
1,011798678;1,031030306;1,017915255;1,021027386;17/02/2011
1,019727934;1,042194338;1,024508898;1,026531582;18/02/2011
1,011396393;1,030079083;1,017864756;1,020110778;21/02/2011
1,002695435;1,017866358;1,009747669;1,014422697;22/02/2011
1,006615386;1,017257591;1,009841458;1,011914908;23/02/2011
1,006615386;1,017257591;1,009375085;1,011136023;24/02/2011
1,01423208;1,021160529;1,012431625;1,008520779;25/02/2011
1,021218352;1,030289286;1,024623827;1,022114576;28/02/2011
1,012749439;1,023312793;1,012773344;1,005034245;01/03/2011
1,021464391;1,033683606;1,022022561;1,018146747;02/03/2011
1,023730209;1,042486743;1,030043326;1,030979909;03/03/2011
1,028454295;1,046472837;1,033628878;1,032806239;04/03/2011
1,028454295;1,046472837;1,03206487;1,030201633;09/03/2011
1,027273699;1,046780608;1,017946995;0,992010973;10/03/2011
1,033235686;1,054440149;1,027516901;1,004525441;11/03/2011
1,042442585;1,065872452;1,03572741;1,011101804;14/03/2011
1,040621368;1,062325122;1,033754463;1,007428183;15/03/2011
1,023035252;1,048320561;1,014447752;0,988525709;16/03/2011
1,026502407;1,049599622;1,019395705;0,996335361;17/03/2011
1,033794646;1,05462418;1,028092735;1,003898341;18/03/2011
1,036877185;1,05930225;1,029838748;1,005019684;21/03/2011
1,043769279;1,060600974;1,04008122;1,01730632;22/03/2011
1,047680193;1,06345762;1,044088712;1,024689968;23/03/2011
1,052170097;1,06730323;1,044591398;1,01939662;24/03/2011
1,0614972;1,075161927;1,051550541;1,024057854;25/03/2011
1,054904823;1,068131288;1,048123827;1,020139212;28/03/2011
1,049880819;1,070813545;1,048698439;1,026104424;29/03/2011
1,049246342;1,07144146;1,051884194;1,03191973;30/03/2011
1,062312803;1,082584836;1,065667933;1,044288424;31/03/2011
1,064418132;1,084115971;1,066852939;1,044715978;01/04/2011
1,088858311;1,114081323;1,090174666;1,064622288;04/04/2011
1,090746018;1,114546821;1,091336975;1,063397111;05/04/2011
1,08582362;1,111279473;1,091318563;1,066602872;06/04/2011
1,074455476;1,103306788;1,08397441;1,058004037;07/04/2011
1,061678987;1,092570108;1,071200402;1,04636151;08/04/2011
1,059701763;1,09110492;1,066462914;1,038970058;11/04/2011
1,046754785;1,075952245;1,054089175;1,024184276;12/04/2011
1,045145452;1,076883762;1,053953002;1,020289039;13/04/2011
1,042250302;1,076407635;1,050019667;1,016384053;14/04/2011
1,043286788;1,076039339;1,04968576;1,019449419;15/04/2011
1,044560947;1,076436104;1,05151638;1,015230104;18/04/2011
1,036247344;1,070760623;1,048434815;1,017617203;19/04/2011
1,046758643;1,077748927;1,059109631;1,030389124;20/04/2011
1,046725035;1,079257027;1,056463304;1,02632046;25/04/2011
1,052653969;1,084086093;1,06120075;1,029816397;26/04/2011
1,041390928;1,071009719;1,054984441;1,026987373;27/04/2011
1,033749569;1,059473225;1,042663894;1,015064627;28/04/2011
1,036916062;1,062983389;1,042680131;1,017910146;29/04/2011
1,027456098;1,052867558;1,025800957;1,001099714;02/05/2011
1,016865491;1,037984317;1,013521961;0,992138003;03/05/2011
1,00816246;1,029772258;1,007524932;0,988770965;04/05/2011
1,010349751;1,027631032;1,011963625;0,995974062;05/05/2011
